# source: https://data.world/data-society/european-soccer-data
country,date,home_team,away_team,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
England,2016-04-09,Manchester City,West Bromwich Albion,2,1,1.33,5.0,9.0,1.33,5.0,8.75,1.37,4.6,7.5
England,2016-04-09,Southampton,Newcastle United,3,1,1.53,4.0,6.0,1.55,3.9,6.0,1.6,3.9,5.0
England,2016-04-10,Sunderland,Leicester City,0,2,3.4,3.4,2.1,3.3,3.4,2.1,3.3,3.3,2.1
England,2016-04-09,Swansea City,Chelsea,1,0,3.75,3.4,2.0,3.75,3.4,1.95,3.5,3.3,2.05
England,2016-04-10,Tottenham Hotspur,Manchester United,3,0,1.91,3.5,4.0,1.91,3.3,4.1,2.1,3.3,3.3
England,2016-04-09,Watford,Everton,1,1,3.4,3.3,2.15,3.4,3.25,2.15,2.95,3.1,2.4
England,2016-04-09,West Ham United,Arsenal,3,3,3.6,3.5,2.0,3.75,3.6,1.9,3.6,3.3,2.0
England,2016-04-17,Arsenal,Crystal Palace,1,1,1.33,5.75,9.5,1.33,5.0,8.75,1.3,5.0,9.0
England,2016-04-17,Bournemouth,Liverpool,1,2,3.6,3.5,2.15,3.3,3.4,2.1,3.3,3.3,2.1
England,2016-04-16,Chelsea,Manchester City,0,3,2.75,3.4,2.7,2.4,3.4,2.75,2.6,3.2,2.6
England,2016-04-16,Everton,Southampton,1,1,2.7,3.4,2.8,2.5,3.25,2.75,2.5,3.3,2.65
England,2016-04-17,Leicester City,West Ham United,2,2,1.95,3.6,4.2,1.95,3.4,3.75,2.0,3.3,3.6
England,2016-04-16,Manchester United,Aston Villa,1,0,1.22,7.0,17.0,1.2,6.0,15.0,1.2,5.8,13.0
England,2016-04-16,Newcastle United,Swansea City,3,0,2.3,3.4,3.4,2.25,3.2,3.2,2.3,3.3,2.9
England,2016-04-16,Norwich City,Sunderland,0,3,2.4,3.3,3.25,2.25,3.25,3.1,2.3,3.2,3.0
England,2016-04-18,Stoke City,Tottenham Hotspur,0,4,4.5,3.75,1.85,4.1,3.5,1.85,4.0,3.45,1.85
England,2016-04-16,West Bromwich Albion,Watford,0,1,2.4,3.2,3.4,2.3,3.1,3.2,2.3,3.1,3.1
England,2016-04-23,Aston Villa,Southampton,2,4,7.5,4.2,1.53,6.0,4.0,1.53,6.1,4.0,1.5
England,2016-04-23,Bournemouth,Chelsea,1,4,3.1,3.5,2.4,2.9,3.3,2.35,2.65,3.3,2.5
England,2016-04-13,Crystal Palace,Everton,0,0,2.9,3.4,2.6,2.95,3.2,2.4,2.95,3.1,2.4
England,2016-04-24,Leicester City,Swansea City,4,0,1.75,3.7,5.5,1.7,3.5,5.0,1.7,3.6,4.7
England,2016-04-23,Liverpool,Newcastle United,2,2,1.57,4.5,6.0,1.57,4.2,5.25,1.5,4.0,6.1
England,2016-04-23,Manchester City,Stoke City,4,0,1.3,6.0,11.0,1.3,5.5,8.5,1.3,5.0,9.0
England,2016-05-11,Norwich City,Watford,4,2,1.83,3.75,4.75,1.75,3.75,4.33,1.8,3.6,4.0
England,2016-04-24,Sunderland,Arsenal,0,0,4.5,4.0,1.8,4.5,3.8,1.72,4.3,3.65,1.75
England,2016-04-25,Tottenham Hotspur,West Bromwich Albion,1,1,1.22,7.0,15.0,1.25,5.5,12.0,1.25,5.5,10.3
England,2016-05-10,West Ham United,Manchester United,3,2,3.0,3.5,2.45,2.85,3.5,2.4,3.0,3.2,2.3
England,2016-04-30,Arsenal,Norwich City,1,0,1.29,6.5,11.0,1.25,6.0,12.5,1.22,5.5,12.0
England,2016-05-02,Chelsea,Tottenham Hotspur,2,2,2.75,3.6,2.63,2.65,3.5,2.6,2.6,3.2,2.6
England,2016-04-30,Everton,Bournemouth,2,1,2.0,3.8,3.8,2.0,3.6,3.7,1.9,3.45,3.8
England,2016-05-01,Manchester United,Leicester City,1,1,2.1,3.4,3.9,2.1,3.4,3.6,1.9,3.45,3.8
England,2016-04-30,Newcastle United,Crystal Palace,1,0,2.0,3.6,4.0,1.95,3.5,4.0,1.9,3.45,3.8
England,2016-05-01,Southampton,Manchester City,4,2,2.8,3.4,2.7,2.7,3.4,2.6,2.65,3.3,2.5
England,2016-04-30,Stoke City,Sunderland,1,1,2.75,3.3,2.8,2.65,3.2,2.75,2.6,3.2,2.6
England,2016-05-01,Swansea City,Liverpool,3,1,3.1,3.5,2.4,3.1,3.4,2.3,3.1,3.3,2.2
England,2016-04-30,Watford,Aston Villa,3,2,1.7,3.8,5.75,1.67,3.8,5.25,1.6,3.9,5.0
England,2016-04-30,West Bromwich Albion,West Ham United,0,3,4.0,3.4,2.1,3.8,3.5,2.0,3.1,3.3,2.2
England,2016-05-07,Aston Villa,Newcastle United,0,0,5.75,4.2,1.65,5.25,3.9,1.6,5.0,3.9,1.6
England,2016-05-07,Bournemouth,West Bromwich Albion,1,1,1.95,3.6,4.2,1.9,3.4,4.0,1.9,3.15,4.2
England,2016-05-07,Crystal Palace,Stoke City,2,1,2.05,3.5,3.9,2.05,3.2,3.7,1.85,3.45,4.0
England,2016-05-07,Leicester City,Everton,3,1,1.91,4.0,4.0,1.83,3.5,4.25,1.9,3.45,3.8
England,2016-05-08,Liverpool,Watford,2,0,1.5,4.5,7.5,1.44,4.4,6.75,1.4,4.4,7.3
England,2016-05-08,Manchester City,Arsenal,2,2,2.5,3.6,2.9,2.55,3.4,2.6,2.4,3.2,2.85
England,2016-05-07,Norwich City,Manchester United,0,1,4.5,3.6,1.91,4.1,3.4,1.87,3.7,3.5,1.9
England,2016-05-07,Sunderland,Chelsea,3,2,3.0,3.5,2.45,2.95,3.3,2.35,2.6,3.2,2.6
England,2016-05-08,Tottenham Hotspur,Southampton,1,2,2.05,3.6,3.9,1.91,3.6,3.7,1.9,3.45,3.8
England,2016-05-07,West Ham United,Swansea City,1,4,1.44,4.75,8.0,1.45,4.25,6.75,1.47,4.0,6.6
England,2016-05-15,Arsenal,Aston Villa,4,0,1.17,9.0,17.0,1.16,7.0,16.0,1.17,6.5,14.0
England,2016-05-15,Chelsea,Leicester City,1,1,2.3,3.75,3.1,2.25,3.6,2.9,2.1,3.3,3.3
England,2016-05-15,Everton,Norwich City,3,0,1.8,4.0,4.5,1.75,3.8,4.33,1.85,3.45,4.0
England,2016-05-17,Manchester United,Bournemouth,3,1,1.67,4.2,5.25,1.67,4.0,5.0,1.7,3.7,4.5
England,2016-05-15,Newcastle United,Tottenham Hotspur,5,1,4.5,4.0,1.8,4.1,3.7,1.8,4.5,3.5,1.75
England,2016-05-15,Southampton,Crystal Palace,4,1,1.36,5.5,9.0,1.33,4.75,9.25,1.4,4.4,7.3
England,2016-05-15,Stoke City,West Ham United,2,1,3.5,3.6,2.15,3.3,3.4,2.1,2.9,3.3,2.3
England,2016-05-15,Swansea City,Manchester City,1,1,6.0,4.75,1.53,5.75,4.5,1.48,7.0,4.0,1.45
England,2016-05-15,Watford,Sunderland,2,2,2.05,3.75,3.7,2.05,3.3,3.6,2.2,3.3,3.1
England,2016-05-15,West Bromwich Albion,Liverpool,1,1,2.4,3.6,3.0,2.35,3.5,2.75,2.5,3.4,2.6
England,2015-08-29,Aston Villa,Sunderland,2,2,1.91,3.5,4.75,1.91,3.6,4.4,1.9,3.45,3.8
England,2015-08-29,Bournemouth,Leicester City,1,1,2.2,3.6,3.4,2.2,3.3,3.2,2.2,3.2,3.2
England,2015-08-29,Chelsea,Crystal Palace,1,2,1.36,5.0,11.0,1.36,4.75,7.75,1.33,4.8,8.3
England,2015-08-29,Liverpool,West Ham United,0,3,1.36,5.5,9.0,1.36,5.0,7.25,1.4,4.4,7.3
England,2015-08-29,Manchester City,Watford,2,0,1.2,8.0,15.0,1.2,7.0,10.5,1.2,5.8,13.0
England,2015-08-29,Newcastle United,Arsenal,0,1,6.0,4.2,1.62,5.5,3.75,1.62,5.0,3.9,1.6
England,2015-08-30,Southampton,Norwich City,3,0,2.05,3.5,4.0,2.05,3.4,3.5,1.9,3.45,3.8
England,2015-08-29,Stoke City,West Bromwich Albion,0,1,1.95,3.4,4.5,1.95,3.3,4.0,2.0,3.3,3.6
England,2015-08-30,Swansea City,Manchester United,2,1,3.6,3.3,2.25,3.2,3.2,2.25,3.2,3.2,2.2
England,2015-08-29,Tottenham Hotspur,Everton,0,0,2.0,3.5,4.2,1.95,3.4,3.75,2.0,3.3,3.6
England,2015-09-12,Arsenal,Stoke City,2,0,1.29,6.0,12.0,1.3,5.5,9.75,1.3,5.0,9.0
England,2015-09-12,Crystal Palace,Manchester City,0,1,5.5,4.2,1.67,5.25,3.9,1.67,5.4,3.7,1.6
England,2015-09-12,Everton,Chelsea,3,1,4.0,3.6,2.0,3.75,3.5,2.0,3.6,3.3,2.0
England,2015-09-13,Leicester City,Aston Villa,3,2,1.91,3.75,4.33,1.91,3.4,4.0,1.85,3.45,4.0
England,2015-09-12,Manchester United,Liverpool,3,1,2.0,3.4,4.33,2.0,3.2,4.33,1.85,3.45,4.0
England,2015-09-12,Norwich City,Bournemouth,3,1,2.4,3.4,3.2,2.4,3.4,2.75,2.3,3.3,2.9
England,2015-09-13,Sunderland,Tottenham Hotspur,0,1,4.33,3.6,1.95,3.75,3.4,1.95,3.6,3.3,2.0
England,2015-09-12,Watford,Swansea City,1,0,2.75,3.4,2.75,2.7,3.2,2.7,2.6,3.2,2.6
England,2015-09-12,West Bromwich Albion,Southampton,0,0,3.2,3.2,2.5,2.8,3.2,2.5,2.65,3.3,2.5
England,2015-09-14,West Ham United,Newcastle United,2,0,2.25,3.5,3.4,2.25,3.4,3.0,2.1,3.3,3.3
England,2015-09-19,Aston Villa,West Bromwich Albion,0,1,2.3,3.25,3.5,2.3,3.1,3.25,2.3,3.2,3.0
England,2015-09-19,Bournemouth,Sunderland,2,0,1.7,4.0,5.5,1.72,3.7,4.6,1.75,3.5,4.5
England,2015-09-19,Chelsea,Arsenal,2,0,2.45,3.5,3.0,2.4,3.5,3.0,2.3,3.2,3.0
England,2015-09-20,Liverpool,Norwich City,1,1,1.67,4.0,5.75,1.67,3.8,5.5,1.55,3.9,5.6
England,2015-09-19,Manchester City,West Ham United,1,2,1.29,6.5,11.0,1.28,6.0,10.5,1.25,5.5,10.3
England,2015-09-19,Newcastle United,Watford,1,2,2.5,3.3,3.1,2.5,3.2,2.8,2.4,3.3,2.75
England,2015-09-20,Southampton,Manchester United,2,3,3.1,3.3,2.5,3.2,3.2,2.4,3.0,3.2,2.3
England,2015-09-19,Stoke City,Leicester City,2,2,2.5,3.4,3.0,2.5,3.2,2.8,2.4,3.2,2.85
England,2015-09-19,Swansea City,Everton,0,0,2.3,3.4,3.4,2.3,3.2,3.1,2.3,3.2,3.0
England,2015-09-20,Tottenham Hotspur,Crystal Palace,1,0,2.0,3.6,4.0,2.0,3.4,3.6,1.85,3.45,4.0
England,2015-09-26,Leicester City,Arsenal,2,5,4.5,4.0,1.8,4.0,3.8,1.85,3.8,3.45,1.9
England,2015-09-26,Liverpool,Aston Villa,3,2,1.53,4.33,7.0,1.53,4.2,6.5,1.5,4.0,6.1
England,2015-09-26,Manchester United,Sunderland,3,0,1.2,7.5,16.0,1.22,6.5,13.0,1.2,5.8,13.0
England,2015-09-26,Newcastle United,Chelsea,2,2,6.0,4.2,1.62,5.75,3.9,1.62,5.4,3.7,1.6
England,2015-09-26,Southampton,Swansea City,3,1,2.05,3.4,4.2,2.05,3.25,3.6,2.2,3.2,3.2
England,2015-09-26,Stoke City,Bournemouth,2,1,2.55,3.3,3.0,2.5,3.3,2.75,2.5,3.2,2.75
England,2015-09-26,Tottenham Hotspur,Manchester City,4,1,4.2,3.8,1.91,4.0,3.6,1.91,3.6,3.3,2.0
England,2015-09-27,Watford,Crystal Palace,0,1,2.5,3.3,3.1,2.5,3.2,2.8,2.5,3.2,2.75
England,2015-09-28,West Bromwich Albion,Everton,2,3,3.1,3.3,2.5,2.8,3.25,2.45,2.85,3.2,2.4
England,2015-09-26,West Ham United,Norwich City,2,2,2.25,3.5,3.4,2.25,3.25,3.1,2.1,3.3,3.3
England,2015-10-04,Arsenal,Manchester United,3,0,2.0,3.8,3.8,2.0,3.5,3.75,2.1,3.3,3.3
England,2015-10-03,Aston Villa,Stoke City,0,1,2.5,3.3,3.1,2.5,3.25,2.95,2.4,3.3,2.75
England,2015-10-03,Bournemouth,Watford,1,1,2.1,3.5,3.8,2.1,3.25,3.5,2.1,3.3,3.3
England,2015-10-03,Chelsea,Southampton,1,3,1.83,3.7,4.8,1.83,3.6,4.5,1.7,3.6,4.7
England,2015-10-03,Crystal Palace,West Bromwich Albion,2,0,1.83,3.6,5.0,1.8,3.4,4.5,1.8,3.5,4.2
England,2015-10-04,Everton,Liverpool,1,1,2.7,3.4,2.8,2.7,3.2,2.75,2.6,3.2,2.6
England,2015-10-03,Manchester City,Newcastle United,6,1,1.25,7.0,13.0,1.25,6.25,11.5,1.25,5.5,10.3
England,2015-10-03,Norwich City,Leicester City,1,2,2.3,3.5,3.3,2.3,3.1,3.2,2.3,3.3,2.9
England,2015-10-03,Sunderland,West Ham United,2,2,3.2,3.4,2.4,3.1,3.2,2.3,2.9,3.3,2.3
England,2015-10-04,Swansea City,Tottenham Hotspur,2,2,2.75,3.25,2.8,2.65,3.2,2.65,2.6,3.2,2.6
England,2015-10-17,Chelsea,Aston Villa,2,0,1.33,5.75,10.0,1.33,5.0,8.5,1.35,4.8,7.6
England,2015-10-17,Crystal Palace,West Ham United,1,3,2.0,3.6,4.0,2.0,3.5,3.5,1.9,3.45,3.8
England,2015-10-17,Everton,Manchester United,0,3,3.25,3.4,2.38,3.0,3.3,2.4,2.9,3.3,2.3
England,2015-10-17,Manchester City,Bournemouth,5,1,1.33,5.75,10.0,1.33,5.25,8.0,1.3,5.0,9.0
England,2015-10-18,Newcastle United,Norwich City,6,2,2.6,3.4,2.88,2.6,3.3,2.6,2.5,3.3,2.65
England,2015-10-17,Southampton,Leicester City,2,2,1.75,4.0,5.0,1.75,3.7,4.4,1.8,3.5,4.2
England,2015-10-19,Swansea City,Stoke City,0,1,2.05,3.4,4.2,2.05,3.2,3.75,2.0,3.3,3.6
England,2015-10-17,Tottenham Hotspur,Liverpool,0,0,2.5,3.5,3.0,2.5,3.2,2.95,2.5,3.2,2.75
England,2015-10-17,Watford,Arsenal,0,3,6.0,4.2,1.62,5.0,4.1,1.6,5.0,3.9,1.6
England,2015-10-17,West Bromwich Albion,Sunderland,1,0,2.05,3.4,4.2,2.05,3.25,3.6,1.85,3.45,4.0
France,2015-08-08,SC Bastia,Stade Rennais FC,2,1,2.6,3.1,2.8,2.6,2.9,2.9,2.3,3.1,3.1
France,2015-08-09,Girondins de Bordeaux,Stade de Reims,1,2,1.67,3.75,5.5,1.7,3.6,5.0,1.7,3.5,4.85
France,2015-08-07,LOSC Lille,Paris Saint-Germain,0,1,6.5,3.6,1.57,6.75,3.75,1.65,4.65,3.4,1.75
France,2015-08-09,Olympique Lyonnais,FC Lorient,0,0,1.57,4.0,6.0,1.57,4.0,6.5,1.5,3.9,6.3
France,2015-08-08,Olympique de Marseille,SM Caen,0,1,1.57,4.0,6.0,1.55,4.33,6.0,1.55,3.7,6.0
France,2015-08-08,Montpellier Harault SC,Angers SCO,0,2,1.83,3.4,4.75,1.75,3.2,5.25,1.8,3.4,4.35
France,2015-08-08,FC Nantes,En Avant de Guingamp,1,0,2.2,3.1,3.6,2.2,3.0,3.5,2.1,3.15,3.45
France,2015-08-08,OGC Nice,AS Monaco,1,2,4.0,3.1,2.05,3.9,3.25,2.1,3.1,3.1,2.3
France,2015-08-09,Toulouse FC,AS Saint-atienne,2,1,3.1,3.1,2.4,2.75,3.1,2.6,2.6,3.2,2.6
France,2015-08-08,ES Troyes AC,GFC Ajaccio,0,0,2.05,3.2,3.75,2.05,3.25,3.6,2.1,3.15,3.45
France,2015-10-17,SC Bastia,Paris Saint-Germain,0,2,10.0,5.0,1.33,9.5,4.75,1.33,7.5,4.6,1.37
France,2015-10-18,Girondins de Bordeaux,Montpellier Harault SC,0,0,1.75,3.6,5.0,1.83,3.3,4.5,1.8,3.4,4.35
France,2015-10-17,En Avant de Guingamp,LOSC Lille,1,1,2.6,3.1,2.9,2.7,3.0,2.8,2.6,3.1,2.7
France,2015-10-18,Olympique de Marseille,FC Lorient,1,1,1.57,4.0,6.0,1.6,3.8,5.5,1.6,3.6,5.6
France,2015-10-16,AS Monaco,Olympique Lyonnais,1,1,2.55,3.2,2.9,2.65,3.0,3.05,2.4,3.1,2.95
France,2015-10-17,FC Nantes,ES Troyes AC,3,0,1.95,3.3,4.2,1.95,3.2,4.1,1.9,3.3,4.0
France,2015-10-17,Stade de Reims,SM Caen,0,1,2.5,3.2,2.9,2.5,3.1,2.9,2.3,3.1,3.1
France,2015-10-18,Stade Rennais FC,OGC Nice,1,4,2.1,3.25,3.75,2.2,3.1,3.4,2.1,3.15,3.45
France,2015-10-17,AS Saint-atienne,GFC Ajaccio,2,0,1.5,3.8,8.0,1.5,3.8,7.0,1.5,3.9,6.3
France,2015-10-17,Toulouse FC,Angers SCO,1,2,2.05,3.3,3.8,2.1,3.2,3.5,2.0,3.2,3.75
France,2015-10-24,Angers SCO,En Avant de Guingamp,0,0,2.4,3.0,3.3,2.45,3.0,3.3,2.3,3.1,3.1
France,2015-10-25,Girondins de Bordeaux,ES Troyes AC,1,0,1.5,3.8,7.5,1.57,3.7,6.25,1.6,3.6,5.6
France,2015-10-23,SM Caen,FC Nantes,0,2,1.91,3.3,4.5,1.95,3.25,4.1,2.0,3.2,3.75
France,2015-10-24,GFC Ajaccio,OGC Nice,3,1,3.4,3.3,2.2,3.7,3.3,2.15,3.2,3.2,2.2
France,2015-10-25,LOSC Lille,Olympique de Marseille,1,2,2.6,3.1,2.9,2.7,3.2,2.8,2.6,3.05,2.75
France,2015-10-24,FC Lorient,Stade Rennais FC,1,1,2.4,3.1,3.2,2.4,3.1,3.0,2.3,3.1,3.1
France,2015-10-23,Olympique Lyonnais,Toulouse FC,3,0,1.73,3.6,5.25,1.75,3.6,5.0,1.65,3.5,5.3
France,2015-10-24,Montpellier Harault SC,SC Bastia,2,0,1.95,3.3,4.2,1.95,3.2,4.1,1.9,3.35,3.9
France,2015-10-25,Paris Saint-Germain,AS Saint-atienne,4,1,1.25,6.0,12.0,1.28,5.5,12.5,1.3,5.0,9.0
France,2015-10-25,Stade de Reims,AS Monaco,0,1,3.0,3.1,2.5,3.2,3.1,2.4,2.8,3.1,2.5
France,2015-10-31,SC Bastia,SM Caen,1,0,2.9,3.1,2.6,2.85,3.2,2.65,2.6,3.2,2.6
France,2015-10-31,GFC Ajaccio,Girondins de Bordeaux,2,0,4.2,3.4,1.95,4.0,3.25,1.95,3.9,3.35,1.9
France,2015-10-31,En Avant de Guingamp,FC Lorient,2,2,2.0,3.3,4.0,2.05,3.2,3.7,2.1,3.15,3.45
France,2015-11-01,AS Monaco,Angers SCO,1,0,1.6,3.75,6.5,1.62,3.6,5.75,1.7,3.5,4.85
France,2015-11-01,FC Nantes,Olympique de Marseille,0,1,4.0,3.1,2.1,3.5,3.2,2.1,3.45,3.15,2.1
France,2015-11-01,OGC Nice,LOSC Lille,0,0,2.38,3.2,3.2,2.4,3.1,3.0,2.2,3.2,3.2
France,2015-10-30,Stade Rennais FC,Paris Saint-Germain,0,1,7.5,4.0,1.5,7.0,3.9,1.5,7.0,4.0,1.45
France,2015-10-31,AS Saint-atienne,Stade de Reims,3,0,1.62,3.8,6.0,1.62,3.7,5.5,1.6,3.6,5.6
France,2015-10-31,Toulouse FC,Montpellier Harault SC,1,1,2.1,3.25,3.75,2.2,3.2,3.3,2.2,3.1,3.3
France,2015-10-31,ES Troyes AC,Olympique Lyonnais,0,1,5.5,3.6,1.7,4.75,3.6,1.72,4.85,3.5,1.7
France,2015-11-06,Angers SCO,Stade Rennais FC,0,2,2.88,3.0,2.7,2.75,2.9,2.75,2.6,3.1,2.7
France,2015-11-08,Girondins de Bordeaux,AS Monaco,3,1,2.3,3.1,3.4,2.4,3.2,3.25,2.4,3.15,2.9
France,2015-11-07,SM Caen,En Avant de Guingamp,2,1,2.2,3.2,3.5,2.15,3.1,3.5,2.2,3.1,3.3
France,2015-11-07,LOSC Lille,SC Bastia,1,1,1.67,3.5,6.0,1.67,3.4,5.5,1.65,3.5,5.3
France,2015-11-07,FC Lorient,ES Troyes AC,4,1,1.67,3.75,5.5,1.67,3.4,5.5,1.65,3.5,5.3
France,2015-11-08,Olympique Lyonnais,AS Saint-atienne,3,0,1.95,3.5,4.0,1.95,3.4,4.0,1.9,3.35,3.9
France,2015-11-08,Olympique de Marseille,OGC Nice,0,1,1.67,4.0,5.0,1.7,3.75,4.75,1.75,3.4,4.65
France,2015-11-07,Montpellier Harault SC,FC Nantes,2,1,2.2,3.1,3.6,2.25,3.0,3.4,2.2,3.1,3.3
France,2015-11-07,Paris Saint-Germain,Toulouse FC,5,0,1.18,7.0,17.0,1.18,6.75,13.0,1.22,5.5,12.0
France,2015-11-07,Stade de Reims,GFC Ajaccio,1,2,1.91,3.2,4.75,1.83,3.4,4.33,1.85,3.4,4.1
France,2015-11-22,SC Bastia,GFC Ajaccio,1,2,2.1,3.2,3.8,2.0,3.25,4.1,2.1,3.15,3.45
France,2015-11-22,SM Caen,Angers SCO,0,0,1.8,3.4,5.0,1.85,3.2,4.6,1.9,3.35,3.9
France,2015-11-21,En Avant de Guingamp,Toulouse FC,2,0,2.1,3.4,3.6,2.0,3.5,3.75,2.0,3.2,3.75
France,2015-11-21,FC Lorient,Paris Saint-Germain,1,2,7.5,4.5,1.44,8.0,4.6,1.45,6.3,3.9,1.5
France,2015-11-21,AS Monaco,FC Nantes,1,0,1.7,3.6,5.5,1.7,3.7,5.25,1.7,3.5,4.85
France,2015-11-21,Montpellier Harault SC,Stade de Reims,3,1,2.1,3.25,3.75,2.1,3.2,3.5,2.1,3.15,3.45
France,2015-11-20,OGC Nice,Olympique Lyonnais,3,0,3.4,3.4,2.15,3.4,3.2,2.25,3.3,3.1,2.2
France,2015-11-22,Stade Rennais FC,Girondins de Bordeaux,2,2,2.3,3.2,3.3,2.3,3.0,3.3,2.3,3.1,3.1
France,2015-11-22,AS Saint-atienne,Olympique de Marseille,0,2,2.45,3.25,3.0,2.5,3.1,3.1,2.3,3.1,3.1
France,2015-11-21,ES Troyes AC,LOSC Lille,1,1,3.6,3.2,2.15,3.4,3.2,2.15,3.3,3.1,2.2
France,2015-11-28,Angers SCO,LOSC Lille,2,0,2.9,2.9,2.8,2.85,2.85,2.7,2.8,3.1,2.5
France,2015-11-29,Girondins de Bordeaux,SM Caen,1,4,1.95,3.5,4.0,1.95,3.3,4.1,2.0,3.2,3.75
France,2015-11-28,GFC Ajaccio,FC Lorient,1,1,2.8,3.2,2.6,2.8,3.2,2.5,2.7,3.1,2.6
France,2015-11-27,Olympique Lyonnais,Montpellier Harault SC,2,4,1.57,3.8,6.5,1.57,4.0,6.0,1.6,3.6,5.6
France,2015-11-29,Olympique de Marseille,AS Monaco,3,3,1.95,3.5,4.0,2.0,3.3,4.0,2.1,3.15,3.45
France,2015-11-28,FC Nantes,SC Bastia,0,0,1.91,3.2,4.75,1.91,3.25,4.4,1.85,3.4,4.1
France,2015-11-28,Paris Saint-Germain,ES Troyes AC,4,1,1.08,10.0,34.0,1.1,9.75,26.0,1.12,8.0,16.0
France,2015-11-28,Stade de Reims,Stade Rennais FC,2,2,3.0,3.0,2.6,2.75,3.1,2.6,2.9,3.15,2.4
France,2015-11-29,AS Saint-atienne,En Avant de Guingamp,3,0,1.83,3.3,5.0,1.8,3.4,5.0,1.7,3.5,4.85
France,2015-11-28,Toulouse FC,OGC Nice,2,0,2.38,3.4,3.0,2.4,3.3,2.85,2.4,3.15,2.9
France,2015-12-01,Angers SCO,Paris Saint-Germain,0,0,10.0,5.0,1.33,10.0,5.0,1.33,8.3,4.8,1.33
France,2015-12-02,SC Bastia,Girondins de Bordeaux,1,0,3.0,3.2,2.5,2.85,3.1,2.55,2.8,3.1,2.5
France,2015-12-02,En Avant de Guingamp,Stade de Reims,1,2,1.91,3.3,4.5,1.95,3.3,3.9,2.0,3.2,3.75
France,2015-12-02,LOSC Lille,AS Saint-atienne,1,0,2.5,3.1,3.1,2.5,2.9,3.1,2.4,3.1,2.95
France,2015-12-01,FC Lorient,OGC Nice,0,0,2.25,3.3,3.3,2.3,3.3,3.0,2.2,3.1,3.3
France,2015-12-02,AS Monaco,SM Caen,1,1,1.85,3.5,4.33,1.87,3.4,4.1,1.85,3.4,4.1
France,2015-12-02,Montpellier Harault SC,GFC Ajaccio,0,2,1.83,3.5,4.5,1.9,3.4,4.0,1.8,3.4,4.35
France,2015-12-01,FC Nantes,Olympique Lyonnais,0,0,3.6,3.25,2.15,3.5,3.25,2.2,3.3,3.1,2.2
France,2015-12-03,Stade Rennais FC,Olympique de Marseille,0,1,3.1,3.1,2.5,2.95,3.0,2.5,2.8,3.1,2.5
France,2015-12-02,ES Troyes AC,Toulouse FC,0,3,3.0,3.3,2.4,2.9,3.1,2.5,2.75,3.1,2.55
France,2015-12-05,SC Bastia,AS Monaco,1,2,3.5,3.3,2.15,3.5,3.2,2.2,2.9,3.15,2.4
France,2015-12-06,Girondins de Bordeaux,En Avant de Guingamp,1,0,2.0,3.2,4.2,2.05,3.2,3.7,2.0,3.2,3.75
France,2015-12-05,SM Caen,LOSC Lille,1,2,2.4,3.1,3.25,2.4,3.0,3.1,2.5,3.1,2.8
France,2015-12-05,GFC Ajaccio,FC Nantes,1,1,2.5,3.0,3.1,2.6,3.0,3.0,2.5,3.0,2.9
France,2015-12-05,Olympique Lyonnais,Angers SCO,0,2,1.53,3.75,7.5,1.57,4.0,6.0,1.65,3.5,5.3
France,2015-12-06,Olympique de Marseille,Montpellier Harault SC,2,2,1.65,3.75,5.5,1.65,3.8,5.5,1.6,3.6,5.6
France,2015-12-04,OGC Nice,Paris Saint-Germain,0,3,6.5,4.33,1.5,6.5,4.33,1.5,6.3,3.9,1.5
France,2015-12-05,Stade de Reims,ES Troyes AC,1,1,1.67,3.75,5.5,1.75,3.6,4.5,1.7,3.5,4.85
France,2015-12-06,AS Saint-atienne,Stade Rennais FC,1,1,2.05,3.1,4.2,2.1,3.1,4.0,2.1,3.15,3.45
France,2015-12-05,Toulouse FC,FC Lorient,2,3,2.0,3.4,3.8,2.2,3.2,3.3,2.2,3.1,3.3
France,2015-12-13,Angers SCO,Girondins de Bordeaux,1,1,2.4,3.0,3.3,2.45,3.0,3.0,2.5,3.1,2.8
France,2015-12-12,LOSC Lille,FC Lorient,3,0,1.75,3.5,5.25,1.85,3.3,4.33,1.9,3.3,4.0
France,2015-12-13,Olympique de Marseille,GFC Ajaccio,1,1,1.4,4.75,8.0,1.42,4.5,8.25,1.4,4.3,7.5
France,2015-12-13,AS Monaco,AS Saint-atienne,1,0,2.05,3.25,4.0,2.1,3.1,4.0,2.1,3.15,3.45
France,2015-12-12,Montpellier Harault SC,En Avant de Guingamp,2,1,2.0,3.3,4.0,2.05,3.2,3.9,2.1,3.15,3.45
France,2015-12-12,FC Nantes,Toulouse FC,1,1,2.38,3.1,3.3,2.4,2.95,3.2,2.2,3.1,3.3
France,2015-12-13,Paris Saint-Germain,Olympique Lyonnais,5,1,1.25,5.5,13.0,1.28,5.25,13.0,1.3,5.0,9.0
France,2015-12-12,Stade de Reims,OGC Nice,1,1,2.6,3.1,2.9,2.65,3.1,2.85,2.6,3.1,2.7
France,2015-12-11,Stade Rennais FC,SM Caen,1,1,2.38,3.25,3.2,2.45,3.2,3.0,2.2,3.1,3.3
France,2015-12-12,ES Troyes AC,SC Bastia,1,1,2.38,3.1,3.3,2.4,2.95,3.2,2.3,3.1,3.1
