Marka,Evjarat,Ar,Allam,Szin,Hiba
Volkswagen,2020,9284,Michigan,Black,Engine
Kia,1997,34225,Massachusetts,Green,Exterior
Volvo,1995,9624,Virginia,Black,Exterior
Subaru,2008,38733,Colorado,Orange,Engine
Nissan,1991,41682,Maine,Yellow,Engine
Hyundai,2008,5629,Minnesota,Orange,Transmission
Ford,1999,5352,Ohio,Black,Suspension
Nissan,2017,13427,Michigan,Black,Brakes
Mercedes,1994,3302,South Carolina,Gray,Suspension
Volkswagen,1997,9599,New Hampshire,Black,Suspension
Lexus,1991,40446,Georgia,Black,Tires
Hyundai,2009,3622,Montana,Gray,Brakes
Subaru,2000,26672,Arkansas,Yellow,Interior
Lexus,1999,14121,New Jersey,Gray,Tires
Nissan,2016,43651,Wisconsin,Gray,Exterior
Nissan,2007,5676,Virginia,Blue,Engine
Kia,1996,2894,Wisconsin,Orange,Transmission
Volkswagen,2002,29813,Arkansas,Orange,Tires
Mazda,1993,42972,Illinois,Yellow,Tires
Lexus,2011,35815,Ohio,Black,Transmission
Volvo,2018,23311,Minnesota,Black,Engine
Toyota,2010,31102,Wisconsin,Green,Suspension
Audi,2020,17297,Alabama,Green,Brakes
Ford,2004,20881,Texas,Blue,Exhaust
BMW,2003,25541,Indiana,Gray,Exhaust
Porsche,2013,19441,Maine,Gray,Engine
Porsche,2004,28774,Missouri,Blue,Engine
Kia,1997,31721,New Mexico,Red,Interior
Honda,1991,12821,Alaska,Silver,Interior
Mazda,2021,33988,Kansas,Yellow,Tires
Nissan,1993,47997,South Dakota,Red,Brakes
Mazda,2023,23049,Alaska,Orange,Exhaust
Lexus,2016,13743,Florida,Orange,Suspension
Kia,2017,1975,New Mexico,White,Engine
Audi,2017,39425,Montana,White,Interior
Lexus,1990,42756,New Hampshire,Gray,Exhaust
Chevrolet,2008,37711,New Jersey,Red,Exhaust
Toyota,2023,30444,Arizona,Silver,Suspension
Chevrolet,2018,2340,Rhode Island,Yellow,Exhaust
Honda,2013,5319,Alabama,Red,Brakes
Kia,2021,49412,Florida,Red,Tires
Nissan,1992,15783,Virginia,Red,Exhaust
Ford,2009,1142,Alaska,Yellow,Transmission
Nissan,2007,34538,Wisconsin,Red,Engine
Volvo,2018,27519,Oklahoma,Black,Brakes
Chevrolet,2016,7763,Idaho,Green,Suspension
Honda,1999,37120,Delaware,Red,Interior
Mercedes,2014,17341,Montana,Blue,Engine
Mercedes,2020,10601,California,Silver,Transmission
Kia,2023,30854,Maine,Green,Interior
Subaru,1995,11255,Arkansas,Silver,Suspension
Kia,1992,48151,Virginia,Silver,Interior
BMW,1991,47707,North Carolina,Green,Brakes
Audi,2004,18280,Idaho,Gray,Interior
Lexus,2009,43709,California,Red,Brakes
Nissan,1991,47872,Nebraska,Black,Exterior
Lexus,2019,7867,Tennessee,Gray,Brakes
Kia,1994,41426,West Virginia,Silver,Exterior
Chevrolet,2011,36712,Illinois,Yellow,Tires
Subaru,2014,25097,Georgia,White,Engine
BMW,2003,21394,Pennsylvania,Blue,Exhaust
Ford,1994,16352,Colorado,Silver,Brakes
Mazda,1992,13045,Georgia,Orange,Engine
Nissan,1991,22280,Minnesota,Silver,Brakes
Lexus,2002,22816,Oregon,Orange,Exterior
Porsche,2021,43683,Florida,White,Exhaust
Lexus,2004,27356,Utah,Green,Interior
Lexus,2007,48602,Oregon,Black,Exhaust
Honda,1991,26012,Michigan,Green,Exterior
Maserati,2020,39204,Arkansas,Orange,Brakes
Audi,2006,19256,Texas,Green,Interior
Audi,1996,26059,Ohio,Silver,Suspension
Toyota,2023,16639,Vermont,Green,Engine
Subaru,2019,37410,Wyoming,Yellow,Interior
Volvo,2012,39876,Illinois,Blue,Suspension
Toyota,2004,26722,Kansas,Silver,Brakes
Nissan,2011,40591,Ohio,Gray,Engine
Lexus,2023,31841,Arkansas,Blue,Tires
Mazda,2016,5856,California,Red,Interior
Hyundai,2014,43776,Missouri,Black,Suspension
Lexus,1997,35538,North Carolina,Yellow,Tires
Honda,2022,22661,Michigan,Silver,Engine
Toyota,2004,15299,Louisiana,Yellow,Suspension
Audi,2002,32833,Arkansas,Yellow,Exhaust
Kia,2005,3612,Vermont,Gray,Exhaust
Ford,1990,33297,Louisiana,White,Engine
Nissan,2014,6234,Maryland,Orange,Tires
Audi,2004,13054,Hawaii,Yellow,Interior
Nissan,2000,48045,Montana,Blue,Tires
Chevrolet,2013,30739,Arkansas,Black,Brakes
Ford,1993,8637,Illinois,White,Engine
Audi,2007,16156,Connecticut,Red,Engine
Lexus,2012,21622,California,White,Exhaust
Lexus,2003,8340,Oregon,White,Transmission
Hyundai,1997,3275,Kansas,Silver,Exterior
Ford,2000,8844,North Dakota,Blue,Brakes
Honda,1991,5359,West Virginia,Silver,Suspension
Chevrolet,2016,9200,South Dakota,White,Exterior
Chevrolet,1990,25584,Massachusetts,White,Interior
Chevrolet,1990,10418,Missouri,Gray,Suspension
Kia,2022,15132,New Hampshire,Green,Tires
Ford,2005,25605,Virginia,Yellow,Interior
Audi,1996,9473,Maine,White,Exterior
Nissan,1990,36059,Hawaii,Black,Exterior
Lexus,1994,1846,Maine,Silver,Exterior
BMW,2009,36321,Ohio,Blue,Brakes
Kia,2000,15973,Connecticut,Green,Brakes
Subaru,2014,18050,Tennessee,Gray,Interior
BMW,2023,19040,Washington,Red,Exhaust
Nissan,2021,47083,Utah,Blue,Exhaust
Volkswagen,2009,17834,Wyoming,Green,Transmission
BMW,1993,9530,Washington,Green,Interior
Mercedes,2020,17340,New Jersey,Red,Engine
Honda,2019,27776,Alabama,Orange,Suspension
Porsche,2011,7392,Minnesota,Red,Engine
Kia,2018,32245,Texas,Yellow,Engine
Mercedes,2007,40833,Vermont,Orange,Tires
Lexus,2011,17155,Kansas,Red,Engine
Porsche,2007,35881,Wyoming,Green,Exhaust
Porsche,1992,31862,Maryland,Black,Engine
Volkswagen,1996,41071,Delaware,Silver,Suspension
Audi,1995,38326,Illinois,Blue,Tires
Hyundai,1993,38190,New Mexico,Yellow,Exhaust
Kia,2010,25366,Rhode Island,Orange,Brakes
Mazda,2003,29917,Texas,Orange,Exterior
Porsche,2013,5208,Oregon,Yellow,Exterior
Subaru,2012,43718,Maryland,Orange,Transmission
Volkswagen,2002,46110,Maine,Black,Transmission
Nissan,2020,44677,Oregon,White,Suspension
Chevrolet,2011,18884,Illinois,Black,Exterior
Honda,2011,20696,Texas,Blue,Suspension
Volvo,2010,2874,New Hampshire,Yellow,Tires
Mercedes,1994,46897,New Jersey,Green,Interior
Honda,1995,13840,Missouri,White,Suspension
Lexus,2000,16808,Idaho,Blue,Exterior
Audi,2017,38036,Michigan,White,Transmission
BMW,2014,31121,Kentucky,Silver,Tires
Mercedes,2007,27595,North Dakota,Silver,Engine
Toyota,2012,31158,Maryland,Yellow,Suspension
Toyota,1998,37138,New Jersey,Yellow,Interior
Honda,2013,37646,Arkansas,White,Brakes
BMW,1996,37502,Iowa,Yellow,Exterior
Volkswagen,2023,37910,Maine,Green,Brakes
Lexus,1994,13773,Minnesota,Blue,Exterior
Nissan,2002,34620,Oklahoma,Blue,Transmission
Ford,2005,46970,Hawaii,Black,Brakes
Chevrolet,2016,2407,Alabama,Red,Interior
Lexus,2015,3239,Wyoming,Black,Brakes
Honda,2002,32027,Colorado,Orange,Interior
Toyota,2006,34920,Washington,Blue,Tires
Honda,2017,17887,Delaware,Silver,Exterior
Volkswagen,2021,31395,Texas,Green,Brakes
Audi,2021,14313,Virginia,Green,Tires
Lexus,2016,36954,Iowa,Silver,Suspension
BMW,2017,16050,Oklahoma,White,Suspension
Subaru,2021,27152,New York,Red,Exhaust
Lexus,2009,8155,Arizona,Yellow,Brakes
Mercedes,2013,13003,Rhode Island,Gray,Exterior
Lexus,1993,1292,Wisconsin,White,Exhaust
Subaru,2004,27843,Rhode Island,Silver,Suspension
Toyota,2014,41110,Texas,Gray,Exterior
Chevrolet,2005,43730,Mississippi,Red,Exhaust
Volkswagen,1994,8044,Oklahoma,Yellow,Exterior
Hyundai,2012,6740,Idaho,Blue,Interior
Maserati,2020,41578,Oklahoma,Black,Interior
Nissan,1993,4839,Vermont,Green,Interior
Ford,2021,48438,Ohio,Silver,Transmission
Porsche,2019,30162,Iowa,Gray,Interior
Volkswagen,2000,28552,Arkansas,Gray,Suspension
Mercedes,1992,17018,Illinois,Green,Exterior
Volvo,1998,14863,New York,Orange,Engine
Mercedes,2018,10801,Delaware,Blue,Brakes
Toyota,1995,29507,Oklahoma,Gray,Engine
Volkswagen,1993,26480,Minnesota,White,Interior
Volvo,2005,26318,California,Blue,Engine
Kia,2008,4813,Maryland,Black,Interior
BMW,2019,37865,Texas,Gray,Transmission
Nissan,1993,6290,Indiana,Yellow,Exhaust
Mazda,2013,3663,West Virginia,Blue,Transmission
Volkswagen,1993,6092,Alaska,Blue,Tires
Ford,1990,11193,Massachusetts,Red,Engine
Honda,2000,32319,New Mexico,Yellow,Suspension
Volkswagen,1997,46347,Arizona,Orange,Exterior
Mercedes,2020,28835,New Mexico,Black,Engine
Toyota,1998,13845,New Mexico,Gray,Interior
Volkswagen,2016,42583,Oklahoma,Green,Suspension
Maserati,2012,47772,North Dakota,White,Exterior
Chevrolet,2022,39226,Nevada,White,Tires
Volkswagen,2007,18266,New Jersey,Yellow,Interior
Ford,2013,41544,Illinois,White,Engine
BMW,2013,2142,Iowa,Gray,Suspension
Ford,2014,18496,South Carolina,Gray,Suspension
Lexus,2002,42011,Missouri,Red,Tires
BMW,1992,9560,Texas,Blue,Exterior
BMW,2012,40510,Montana,Orange,Brakes
Honda,2018,2021,Florida,Black,Suspension
Chevrolet,1990,44507,Washington,Orange,Interior
Kia,2009,31705,Kentucky,Black,Exhaust
Nissan,2016,38608,Vermont,White,Tires
Subaru,1998,39264,Maine,Orange,Brakes
Maserati,2008,8031,Arizona,Green,Brakes
Ford,2022,11447,Maine,Gray,Suspension
Toyota,1997,30447,Alaska,White,Exhaust
Mercedes,2012,22874,Minnesota,White,Engine
Honda,2009,1936,North Dakota,Green,Transmission
Nissan,1998,43260,Iowa,Blue,Exhaust
Kia,2021,30051,Utah,White,Tires
Ford,2005,8298,Idaho,White,Suspension
Volkswagen,2009,31595,Florida,Red,Interior
Toyota,2008,40893,Wisconsin,White,Exhaust
Nissan,1990,21284,Maine,Green,Tires
Mazda,2016,3618,South Dakota,Red,Exhaust
Nissan,2023,32150,South Carolina,Black,Interior
Mazda,1994,4645,New Mexico,Silver,Suspension
Porsche,1998,1314,Montana,Green,Interior
Lexus,2000,10785,Maine,Gray,Suspension
Chevrolet,1999,21618,Wyoming,Green,Tires
Maserati,2019,40398,Tennessee,Silver,Exhaust
Lexus,2011,25124,Colorado,Green,Exterior
BMW,2015,42613,Montana,Silver,Exterior
Hyundai,2017,19155,Virginia,Yellow,Exterior
Lexus,2016,43204,New Jersey,Red,Suspension
Volvo,1999,6109,Utah,White,Brakes
BMW,1991,38578,South Dakota,Silver,Suspension
Honda,2020,19626,Maryland,Orange,Exhaust
Maserati,2000,36548,California,Black,Engine
BMW,2008,25577,Nebraska,Blue,Suspension
Audi,2007,40998,Tennessee,Red,Exterior
Mercedes,2010,4609,Arkansas,Yellow,Brakes
Mercedes,2017,40272,Kentucky,Orange,Exterior
Porsche,2015,19889,California,White,Exhaust
Nissan,2021,20826,Alabama,White,Exhaust
Honda,1990,42344,California,Orange,Exhaust
Kia,1995,36204,Tennessee,Black,Transmission
BMW,2013,34534,Missouri,Orange,Tires
Chevrolet,1995,16313,Louisiana,Silver,Exhaust
Mazda,1993,41631,Connecticut,Black,Exhaust
Maserati,2014,43822,Massachusetts,Blue,Brakes
Lexus,2000,22294,North Carolina,Gray,Interior
Subaru,2015,35890,West Virginia,Silver,Exterior
Honda,2019,28771,Louisiana,Gray,Suspension
Mercedes,1991,7226,Florida,Orange,Exterior
Volkswagen,2016,48921,Utah,Red,Transmission
Porsche,2013,24276,West Virginia,Blue,Suspension
Audi,2005,11876,Iowa,Blue,Tires
Lexus,2000,8983,Colorado,Gray,Transmission
Mercedes,1995,33814,Louisiana,White,Interior
Toyota,2021,30301,Minnesota,Red,Exterior
Audi,1994,15585,Texas,Orange,Engine
Nissan,1991,27849,Oregon,Blue,Tires
Mazda,2017,37782,Georgia,White,Transmission
Chevrolet,2020,11891,Louisiana,Black,Exterior
Lexus,1999,45875,Oklahoma,Blue,Exhaust
Chevrolet,1997,21060,Montana,Orange,Exhaust
Mazda,1997,24036,North Carolina,Black,Interior
Volvo,2015,43173,Alabama,Gray,Tires
Audi,2014,7450,Illinois,Red,Brakes
Porsche,2008,27471,Massachusetts,Black,Interior
Mazda,2000,28742,Illinois,Orange,Brakes
Hyundai,1993,16771,Missouri,Blue,Suspension
Maserati,2010,26205,Arizona,Gray,Interior
Nissan,1991,26846,Hawaii,Green,Transmission
Ford,2020,6051,Louisiana,Gray,Tires
BMW,2002,26857,Montana,Orange,Transmission
Toyota,1999,10763,Louisiana,Gray,Exterior
Chevrolet,1994,14560,Oregon,Orange,Engine
Toyota,2001,34165,Virginia,Silver,Suspension
Audi,1991,31425,Ohio,Gray,Interior
Porsche,1995,32615,Illinois,Green,Engine
Mazda,2012,14107,Nebraska,Yellow,Exterior
Chevrolet,2006,27429,Nevada,Silver,Exterior
Porsche,2006,4192,California,Gray,Suspension
BMW,2008,21168,Nebraska,Orange,Transmission
Volvo,2008,21963,Georgia,Black,Exhaust
Hyundai,2005,42528,Kentucky,Silver,Exterior
Maserati,1995,22412,Arkansas,Orange,Interior
Toyota,2020,17773,Maryland,Silver,Tires
Volvo,1996,43561,Virginia,Green,Transmission
Kia,1992,11367,Utah,Green,Exterior
Ford,2019,2780,Rhode Island,Orange,Suspension
Mercedes,2000,20378,Idaho,Black,Exterior
Maserati,2006,22949,New Jersey,Black,Brakes
Mercedes,2020,39707,Alaska,Gray,Engine
Mazda,1995,32341,Oklahoma,Orange,Tires
Lexus,1994,24194,Maryland,Blue,Brakes
Subaru,2014,21702,Mississippi,Gray,Interior
Ford,1990,42001,Louisiana,Orange,Tires
Toyota,2004,37823,Washington,Red,Exhaust
Chevrolet,2011,45742,New York,Green,Exhaust
Ford,2011,4169,Georgia,Red,Transmission
Porsche,2008,20245,New York,Green,Exhaust
Maserati,2007,8443,Kansas,Blue,Brakes
Mazda,2015,16308,Nebraska,Yellow,Exterior
Porsche,2009,35092,Iowa,Black,Exterior
Ford,2018,5058,Missouri,Red,Exterior
Kia,2002,40871,Vermont,Gray,Transmission
Volkswagen,2022,25682,Alaska,Gray,Suspension
Kia,2000,29477,Florida,Gray,Brakes
Hyundai,2018,10460,Montana,Black,Interior
Maserati,2023,3152,Connecticut,Yellow,Interior
Mazda,1998,2629,South Carolina,Blue,Brakes
Chevrolet,2007,46086,Montana,Red,Interior
Maserati,2007,44931,South Dakota,Orange,Exhaust
Mercedes,1990,44505,South Dakota,Gray,Suspension
Nissan,2003,39842,Virginia,Orange,Engine
Hyundai,2005,47969,South Carolina,Yellow,Brakes
Chevrolet,2017,14947,Oregon,Green,Tires
Maserati,2005,7521,Rhode Island,Black,Brakes
Chevrolet,2009,37559,Louisiana,Black,Transmission
Mercedes,2002,1130,Florida,Orange,Transmission
Mercedes,2001,34841,Arizona,Silver,Exhaust
BMW,2016,7269,Mississippi,Blue,Exterior
Volkswagen,2022,45321,Vermont,Orange,Exhaust
Honda,1992,22065,Massachusetts,Blue,Tires
Hyundai,1998,27850,South Dakota,Green,Engine
Nissan,2006,43650,Indiana,Yellow,Tires
Maserati,2011,15886,Arkansas,Silver,Interior
Maserati,1998,13010,Texas,Green,Transmission
Honda,2021,26113,Rhode Island,Orange,Brakes
Volkswagen,2016,18127,Tennessee,Red,Brakes
Ford,2019,2638,Missouri,Green,Interior
Maserati,1996,39060,Kansas,Black,Transmission
Mazda,2004,33205,Washington,Yellow,Exterior
BMW,2007,4026,Delaware,Gray,Transmission
Mazda,1999,29125,North Carolina,Red,Exhaust
Subaru,2000,11887,Wyoming,Silver,Interior
Volkswagen,2022,20627,Idaho,White,Interior
Chevrolet,1993,30503,Idaho,Gray,Brakes
Volkswagen,2018,46516,Florida,Red,Brakes
Ford,1992,35178,Maryland,White,Engine
Subaru,2002,13032,Colorado,Black,Interior
Porsche,2015,43596,New Mexico,White,Exterior
Porsche,2004,18511,Missouri,Yellow,Transmission
Lexus,2011,38095,North Carolina,Yellow,Engine
Maserati,1992,42246,New Hampshire,Silver,Suspension
Ford,2006,34289,Pennsylvania,Black,Brakes
Mercedes,2003,44443,Washington,Blue,Exterior
Lexus,2004,48562,Florida,Green,Interior
Volkswagen,1991,24568,Colorado,Orange,Exhaust
Audi,1992,11150,Texas,Yellow,Suspension
Lexus,1991,6780,Oregon,Gray,Transmission
Kia,2013,33794,West Virginia,Gray,Interior
BMW,2002,22724,Wisconsin,Gray,Suspension
Ford,2021,22683,Texas,Black,Suspension
Chevrolet,2018,9139,Wisconsin,Blue,Exhaust
Chevrolet,1997,40047,Utah,Yellow,Brakes
BMW,2023,15095,Massachusetts,Yellow,Exhaust
Mazda,2016,42760,Arizona,Red,Suspension
Mercedes,2008,20338,Idaho,Orange,Interior
Chevrolet,2005,32387,Pennsylvania,White,Transmission
Mercedes,2015,39511,Hawaii,Silver,Brakes
Volkswagen,1990,3015,Georgia,White,Exhaust
Nissan,2006,26280,Georgia,Red,Transmission
Toyota,1999,25245,Texas,Green,Transmission
Subaru,2012,36417,Vermont,Gray,Engine
Lexus,2001,40764,Virginia,Green,Tires
Volkswagen,1999,10073,Florida,Blue,Transmission
Ford,2015,13320,Texas,Gray,Engine
Chevrolet,2008,18583,Oklahoma,Silver,Engine
Chevrolet,2002,20884,North Dakota,Orange,Exhaust
Porsche,2003,4793,Indiana,Yellow,Interior
Hyundai,2022,7199,Tennessee,White,Engine
Nissan,2019,14809,Minnesota,Yellow,Exterior
Maserati,1990,19865,Massachusetts,Silver,Brakes
Volvo,1995,18108,Massachusetts,Red,Transmission
Mercedes,2007,46137,Vermont,Gray,Suspension
Lexus,2001,29434,Oregon,Blue,Brakes
Hyundai,1998,15721,Arkansas,Silver,Brakes
Volvo,2003,42316,Ohio,Red,Transmission
Hyundai,2009,41003,New Mexico,Gray,Engine
BMW,1993,5750,New Mexico,Orange,Exhaust
Audi,1996,8405,Tennessee,Yellow,Exterior
Porsche,2009,37144,New York,Orange,Exhaust
Subaru,1995,17063,Arizona,Orange,Tires
Hyundai,2001,14290,South Carolina,Yellow,Tires
Mazda,2021,10464,Utah,Red,Tires
Nissan,1996,40961,Iowa,Blue,Engine
Maserati,1999,15824,Pennsylvania,Blue,Exhaust
Mercedes,2015,20790,Wyoming,Yellow,Exhaust
Maserati,2001,11579,Arkansas,Gray,Brakes
Subaru,2007,9748,Georgia,Green,Suspension
Mazda,2019,49811,North Dakota,Silver,Engine
Subaru,1991,25762,Montana,Red,Suspension
Hyundai,2005,34488,Montana,Yellow,Engine
BMW,2015,33559,Oklahoma,Gray,Engine
Nissan,2005,13804,Arkansas,Blue,Exhaust
Mercedes,2007,1785,Delaware,Blue,Interior
Chevrolet,1993,18023,Missouri,Orange,Exterior
Maserati,1994,24363,Georgia,Silver,Transmission
Lexus,2005,8203,Missouri,White,Tires
Chevrolet,2016,4769,Utah,White,Interior
Subaru,2021,46135,Mississippi,White,Exhaust
Chevrolet,1993,3077,Idaho,Yellow,Exterior
Maserati,2011,31657,Delaware,Orange,Brakes
BMW,2011,35536,New Mexico,Black,Transmission
Chevrolet,2000,16472,Rhode Island,White,Brakes
Nissan,1998,43096,Utah,Silver,Brakes
Nissan,1991,29519,Illinois,Yellow,Suspension
Kia,1999,47579,Connecticut,Yellow,Exhaust
Subaru,2001,39373,Georgia,Gray,Interior
Volkswagen,2005,39186,Illinois,White,Tires
Volvo,2015,7664,New Jersey,Black,Transmission
Volkswagen,1991,19425,Maryland,Gray,Suspension
Maserati,2022,37953,North Dakota,White,Exhaust
Hyundai,2022,37514,Connecticut,Blue,Exterior
Chevrolet,2002,24079,Virginia,Silver,Brakes
Audi,1993,6443,Minnesota,Silver,Interior
Audi,1997,15978,California,Yellow,Engine
Mazda,2016,34831,Alaska,Blue,Engine
Ford,2022,2405,Idaho,Orange,Exterior
Chevrolet,2014,17169,Florida,Yellow,Brakes
Lexus,2021,11655,Alaska,Silver,Suspension
Ford,2003,2161,New Hampshire,Black,Tires
Subaru,2011,28840,Alabama,Black,Tires
Hyundai,2016,33490,Maine,Silver,Brakes
Subaru,2022,20008,New Hampshire,White,Interior
Hyundai,2019,3942,Minnesota,Green,Exterior
Hyundai,2010,33212,Arizona,Black,Brakes
Mazda,2004,8998,Hawaii,Orange,Exhaust
Lexus,2008,3138,Florida,Blue,Brakes
Maserati,2002,49599,Indiana,Silver,Tires
Audi,1998,10831,Virginia,Yellow,Tires
Audi,2003,27947,Oklahoma,Red,Engine
Nissan,1992,8974,Michigan,Yellow,Exterior
Subaru,2020,45482,Washington,Black,Exhaust
Porsche,2006,47985,North Dakota,Silver,Transmission
Maserati,2016,26463,Oklahoma,Gray,Suspension
Mazda,1995,17017,Idaho,Red,Suspension
Kia,2007,9694,Illinois,Black,Exterior
Volvo,2022,22592,Michigan,White,Exterior
BMW,2000,42336,Maryland,Black,Brakes
Ford,1997,42057,Indiana,Silver,Suspension
BMW,2005,33833,Hawaii,Red,Interior
Hyundai,1990,26828,Utah,Yellow,Brakes
Honda,2014,17467,Idaho,Silver,Exterior
Hyundai,2003,15448,Minnesota,Red,Suspension
